iter	Passed	Remaining
0	11	11277
1	20	10136
2	28	9368
3	35	8956
4	44	8763
5	52	8724
6	60	8621
7	69	8565
8	77	8496
9	85	8461
10	93	8432
11	102	8420
12	110	8379
13	118	8358
14	126	8331
15	135	8317
16	143	8319
17	152	8303
18	161	8322
19	169	8305
20	179	8350
21	191	8499
22	201	8551
23	210	8556
24	219	8569
25	228	8576
26	237	8550
27	245	8532
28	254	8511
29	262	8489
30	270	8462
31	278	8430
32	287	8436
33	296	8413
34	304	8397
35	312	8368
36	320	8333
37	328	8322
38	337	8305
39	345	8287
40	353	8270
41	362	8263
42	371	8268
43	379	8256
44	388	8253
45	397	8244
46	405	8223
47	413	8208
48	421	8186
49	429	8167
50	437	8133
51	445	8115
52	453	8100
53	461	8092
54	470	8078
55	478	8063
56	486	8052
57	495	8051
58	503	8037
59	513	8039
60	521	8022
61	529	8008
62	537	7994
63	546	7986
64	554	7971
65	562	7954
66	570	7941
67	578	7929
68	586	7914
69	595	7905
70	603	7893
71	611	7881
72	619	7871
73	628	7867
74	636	7854
75	645	7842
76	653	7836
77	661	7822
78	671	7822
79	679	7809
80	687	7804
81	697	7803
82	705	7794
83	713	7785
84	722	7776
85	731	7772
86	740	7767
87	748	7757
88	757	7754
89	766	7746
90	775	7748
91	784	7742
92	793	7740
93	802	7730
94	810	7718
95	818	7710
96	827	7701
97	835	7691
98	843	7680
99	852	7670
100	860	7659
101	868	7649
102	877	7638
103	885	7630
104	894	7628
105	902	7611
106	911	7607
107	919	7597
108	927	7584
109	936	7575
110	944	7565
111	952	7555
112	961	7543
113	969	7531
114	976	7517
115	984	7506
116	993	7500
117	1002	7490
118	1009	7475
119	1017	7459
120	1025	7450
121	1033	7440
122	1042	7432
123	1050	7424
124	1060	7422
125	1068	7412
126	1077	7404
127	1085	7395
128	1093	7385
129	1103	7384
130	1112	7379
131	1120	7369
132	1129	7364
133	1140	7368
134	1150	7374
135	1160	7370
136	1170	7373
137	1181	7378
138	1192	7386
139	1201	7377
140	1209	7370
141	1218	7362
142	1228	7359
143	1236	7350
